,PrimaryDI,brandName,versionModelNumber,companyName,deviceDescription,sizeText,productCode,deviceId,gmdnPTName,gmdnPTDefinition
0,cd1aecda-448b-42fc-bfd7-3ffcf532de5c,MENTOR SILTEX Round SPECTRUM,3542420M,MENTOR TEXAS L.P.,"Post-Operatively Adjustable Saline Breast Implant, 175cc",270 cc,FWM,81317002062,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
1,41e1a35c-86f2-4c04-9853-9a024546626e,MENTOR SILTEX Round SPECTRUM,3542410M,MENTOR TEXAS L.P.,"Post-Operatively Adjustable Saline Breast Implant, 125cc",230 cc,FWM,81317002055,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
2,cd155d46-2d12-4d57-a37a-e39654e8ce78,MENTOR Smooth Round SPECTRUM,3501460,MENTOR TEXAS L.P.,"Post Operatively Adjustable Saline Breast Implant, 375cc",510 cc,FWM,81317002000,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
3,66418e31-1d68-4834-80aa-64126c554c7e,MENTOR SILTEX CONTOUR PROFILE High,3542711,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 275cc",230 cc,FWM,81317001904,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
4,81cd1bd5-3d37-40bf-ba0a-ccd064357851,MENTOR SILTEX CONTOUR PROFILE Moderate,3542910,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 175cc",750 cc,FWM,81317001843,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
5,63ad3365-a539-49fd-ba3a-7115727c1580,MENTOR SILTEX Round Moderate Profile,3542670,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 425cc",150 cc,FWM,81317001829,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
6,4d1759d1-8660-4d3e-af51-e56d434b56cb,MENTOR SILTEX Round Moderate Profile,3542655,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 350cc",530 cc,FWM,81317001805,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
7,030d5c27-d380-4ead-a2f0-3076ab536d41,MENTOR SILTEX Round Moderate Profile,3542635,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 250cc",440 cc,FWM,81317001768,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
8,c47c2927-7977-4f3e-9daa-26c377f34e68,MENTOR SILTEX Round Moderate Profile,3542630,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 225cc",680 cc,FWM,81317001751,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
9,de8cda81-2c85-41cf-9970-b18451a0a4b7,MENTOR SILTEX Round Moderate Profile,3542625,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 200cc",480 cc,FWM,81317001744,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
